Survived,Pclass,Age,Fare,family_size,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,is_alone_0,is_alone_1
1,3,1.0,1.0,1,1,0,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
1,3,1.0,1.0,1,0,1,0,0,1,0,1
1,3,1.0,0.0,1,1,0,0,1,0,0,1
1,2,1.0,1.0,1,1,0,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
1,2,2.0,2.0,2,1,0,0,0,1,1,0
0,2,2.0,2.0,2,0,1,0,0,1,1,0
0,3,1.0,0.0,1,1,0,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,2.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,3,1.0,0.0,1,1,0,0,0,1,0,1
1,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,2.0,0.0,1,0,1,0,0,1,0,1
1,3,1.0,2.0,2,1,0,0,1,0,1,0
0,3,0.0,1.0,2,1,0,1,0,0,1,0
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,2,1,0,0,0,1,1,0
0,3,1.0,1.0,1,1,0,1,0,0,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,2,1.0,2.0,2,0,1,0,0,1,1,0
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,2,2.0,2.0,2,0,1,1,0,0,1,0
1,2,2.0,1.0,1,1,0,0,0,1,0,1
1,3,0.0,1.0,2,0,1,1,0,0,1,0
0,3,1.0,0.0,1,0,1,0,1,0,0,1
1,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,2.0,0.0,1,0,1,1,0,0,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,2,1.0,2.0,2,1,0,0,0,1,1,0
0,2,1.0,1.0,1,0,1,0,0,1,0,1
0,2,1.0,2.0,1,0,1,1,0,0,0,1
0,3,0.0,1.0,1,0,1,0,0,1,0,1
1,3,1.0,0.0,1,1,0,0,0,1,0,1
1,3,1.0,2.0,2,1,0,0,0,1,1,0
0,3,1.0,0.0,1,0,1,0,1,0,0,1
0,2,1.0,1.0,1,0,1,0,0,1,0,1
1,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,3,0.0,0.0,1,1,0,0,1,0,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
1,2,2.0,2.0,1,1,0,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,1,1.0,2.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,2,1.0,1.0,1,0,1,0,0,1,0,1
0,3,2.0,0.0,1,0,1,0,0,1,0,1
0,2,1.0,2.0,1,0,1,1,0,0,0,1
1,3,1.0,2.0,2,1,0,0,1,0,1,0
0,3,2.0,0.0,1,0,1,0,0,1,0,1
1,2,1.0,1.0,1,1,0,0,0,1,0,1
0,2,1.0,1.0,1,0,1,0,0,1,0,1
1,3,1.0,0.0,2,1,0,0,0,1,1,0
0,3,1.0,0.0,1,0,1,0,1,0,0,1
1,3,1.0,0.0,1,1,0,0,1,0,0,1
0,2,1.0,1.0,1,1,0,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,2.0,0.0,1,0,1,0,0,1,0,1
1,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,2.0,2,0,1,0,0,1,1,0
1,3,1.0,2.0,1,0,1,1,0,0,0,1
1,3,0.0,0.0,1,1,0,0,1,0,0,1
1,1,2.0,2.0,1,0,1,1,0,0,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,2,2.0,2.0,1,1,0,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,2,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,2,0,1,0,1,0,1,0
1,3,1.0,1.0,1,1,0,0,0,1,0,1
0,2,1.0,1.0,1,0,1,0,0,1,0,1
1,3,0.0,1.0,1,0,1,0,0,1,0,1
0,2,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
1,2,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,2,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,2,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,1,0,0,0,1,0,1
0,2,1.0,1.0,1,0,1,0,0,1,0,1
0,2,2.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,2,1,0,1,0,0,1,0
1,3,1.0,2.0,2,1,0,0,1,0,1,0
0,2,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,1,0,0,0,1
0,3,1.0,0.0,1,1,0,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,2.0,2,0,1,0,0,1,1,0
0,3,1.0,0.0,1,0,1,0,1,0,0,1
0,1,2.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,1,0,0,1,0,0,1
0,2,2.0,1.0,1,0,1,0,0,1,0,1
1,3,1.0,0.0,2,0,1,0,0,1,1,0
0,1,1.0,2.0,1,0,1,0,0,1,0,1
1,3,1.0,0.0,1,0,1,0,0,1,0,1
1,2,2.0,2.0,2,1,0,0,0,1,1,0
0,1,2.0,2.0,2,0,1,1,0,0,1,0
1,3,1.0,0.0,1,1,0,0,1,0,0,1
0,2,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,0.0,1.0,1,0,1,0,0,1,0,1
1,3,1.0,1.0,1,0,1,0,0,1,0,1
0,1,1.0,2.0,1,0,1,0,0,1,0,1
0,3,2.0,1.0,1,0,1,1,0,0,0,1
1,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,3,1.0,0.0,1,1,0,0,1,0,0,1
0,2,2.0,1.0,1,0,1,1,0,0,0,1
0,3,1.0,1.0,1,1,0,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,1,1.0,2.0,1,0,1,1,0,0,0,1
0,3,1.0,0.0,1,0,1,1,0,0,0,1
1,1,1.0,2.0,1,0,1,0,0,1,0,1
1,3,1.0,0.0,1,1,0,0,1,0,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,2,1.0,1.0,1,1,0,0,1,0,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,2,1.0,2.0,2,0,1,1,0,0,1,0
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,3,1.0,0.0,1,1,0,0,0,1,0,1
1,2,1.0,2.0,2,1,0,0,0,1,1,0
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,2,1.0,1.0,1,1,0,0,1,0,0,1
1,2,2.0,1.0,1,1,0,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,2,1.0,1.0,1,0,1,0,0,1,0,1
0,2,1.0,1.0,1,0,1,0,0,1,0,1
0,2,2.0,1.0,1,0,1,0,0,1,0,1
1,2,1.0,1.0,1,1,0,0,0,1,0,1
1,2,2.0,1.0,1,1,0,0,0,1,0,1
1,3,1.0,2.0,2,1,0,0,0,1,1,0
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,1,1.0,3.0,1,0,1,0,0,1,0,1
0,3,1.0,2.0,2,0,1,0,0,1,1,0
0,3,1.0,0.0,1,0,1,1,0,0,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,2,2.0,1.0,1,1,0,0,0,1,0,1
1,3,1.0,0.0,1,1,0,0,1,0,0,1
1,3,1.0,0.0,1,1,0,0,1,0,0,1
0,2,1.0,2.0,2,0,1,1,0,0,1,0
0,3,2.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,2.0,2,0,1,0,1,0,1,0
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,3,1.0,0.0,1,1,0,1,0,0,0,1
1,3,1.0,0.0,1,1,0,0,1,0,0,1
0,3,1.0,0.0,2,0,1,0,0,1,1,0
0,3,1.0,1.0,1,0,1,0,0,1,0,1
1,3,1.0,0.0,1,1,0,0,0,1,0,1
0,3,1.0,0.0,1,0,1,1,0,0,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,2,2.0,1.0,1,1,0,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,1,0,0,1
1,2,1.0,1.0,1,1,0,1,0,0,0,1
1,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,1,0,0,0,1,0,1
0,2,1.0,1.0,1,0,1,0,0,1,0,1
1,2,1.0,1.0,1,1,0,0,0,1,0,1
1,3,2.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,2,1,0,0,0,1,1,0
0,3,1.0,2.0,2,0,1,0,0,1,1,0
0,3,1.0,1.0,1,1,0,0,0,1,0,1
0,2,2.0,2.0,2,0,1,0,0,1,1,0
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,1,0,0,1
0,2,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,1,0,0,0,1,0,1
0,2,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,1,0,0,0,1
0,3,1.0,0.0,1,0,1,0,1,0,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,2,1.0,2.0,2,1,0,0,0,1,1,0
1,2,1.0,2.0,1,1,0,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,1,0,0,1
1,3,1.0,1.0,1,0,1,0,0,1,0,1
1,1,1.0,2.0,1,0,1,0,0,1,0,1
1,3,1.0,2.0,2,1,0,0,0,1,1,0
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,2,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,2,0,1,0,0,1,1,0
1,2,1.0,1.0,1,1,0,0,0,1,0,1
1,3,1.0,1.0,1,0,1,0,0,1,0,1
1,2,0.0,2.0,2,1,0,0,0,1,1,0
1,1,2.0,2.0,1,0,1,0,0,1,0,1
0,3,1.0,2.0,2,0,1,0,0,1,1,0
0,1,1.0,2.0,1,0,1,1,0,0,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
1,3,1.0,0.0,1,0,1,1,0,0,0,1
0,3,1.0,0.0,1,0,1,0,1,0,0,1
0,3,2.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,2.0,0.0,1,0,1,0,0,1,0,1
0,2,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,1,0,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,2.0,1.0,1,0,1,0,0,1,0,1
1,2,1.0,1.0,1,1,0,1,0,0,0,1
0,3,1.0,1.0,1,1,0,0,0,1,0,1
0,2,2.0,2.0,2,0,1,0,0,1,1,0
0,3,1.0,0.0,2,0,1,0,0,1,1,0
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,2,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,2.0,2,0,1,0,0,1,1,0
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,1,0,0,0,1
0,3,1.0,2.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,1,0,0,1,0,0,1
0,3,1.0,0.0,1,1,0,0,1,0,0,1
0,3,2.0,1.0,1,1,0,0,0,1,0,1
1,1,1.0,2.0,1,0,1,0,0,1,0,1
0,3,1.0,2.0,1,0,1,0,0,1,0,1
1,3,1.0,0.0,1,0,1,0,1,0,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
1,1,2.0,2.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,2,2.0,1.0,1,1,0,0,0,1,0,1
0,3,1.0,2.0,1,0,1,0,1,0,0,1
1,2,2.0,2.0,2,1,0,0,0,1,1,0
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,1,0,0,0,1
0,3,1.0,0.0,1,0,1,1,0,0,0,1
0,3,2.0,0.0,1,0,1,0,1,0,0,1
0,3,2.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,1,0,0,0,1
0,3,1.0,1.0,1,1,0,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
1,2,1.0,2.0,2,0,1,0,0,1,1,0
1,2,1.0,2.0,2,1,0,0,0,1,1,0
1,2,1.0,1.0,1,0,1,1,0,0,0,1
0,2,1.0,2.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,1,0,0,1
1,3,1.0,0.0,1,0,1,1,0,0,0,1
1,3,1.0,0.0,1,1,0,0,0,1,0,1
1,3,2.0,2.0,2,1,0,0,0,1,1,0
0,3,1.0,0.0,1,0,1,0,1,0,0,1
0,3,2.0,0.0,1,0,1,0,0,1,0,1
0,2,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,1,0,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,1,0,0,0,1
1,3,1.0,0.0,1,0,1,0,0,1,0,1
1,1,2.0,2.0,1,0,1,0,0,1,0,1
1,3,1.0,0.0,1,1,0,0,1,0,0,1
0,3,0.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
1,2,2.0,1.0,1,1,0,0,0,1,0,1
0,3,1.0,1.0,2,1,0,1,0,0,1,0
1,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,1,0,0,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,2.0,0.0,1,0,1,0,0,1,0,1
0,2,2.0,2.0,2,0,1,0,0,1,1,0
1,2,1.0,3.0,1,1,0,0,0,1,0,1
0,3,1.0,0.0,1,0,1,1,0,0,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,1,2.0,2.0,1,0,1,1,0,0,0,1
0,3,2.0,2.0,2,0,1,0,0,1,1,0
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,1,1.0,2.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,3,1.0,2.0,2,1,0,0,1,0,1,0
0,3,1.0,0.0,1,0,1,0,1,0,0,1
0,3,2.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,2.0,2,1,0,0,0,1,1,0
0,2,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,2,0,1,1,0,0,1,0
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,2.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,1,0,0,1
1,1,1.0,2.0,1,0,1,1,0,0,0,1
0,1,1.0,0.0,1,0,1,0,0,1,0,1
1,2,1.0,1.0,1,1,0,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,2.0,2,0,1,0,0,1,1,0
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,3,1.0,0.0,1,1,0,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,2,1.0,2.0,2,1,0,0,0,1,1,0
0,3,1.0,1.0,1,0,1,0,0,1,0,1
1,3,1.0,0.0,1,1,0,0,1,0,0,1
0,3,1.0,0.0,1,1,0,0,1,0,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,2,1.0,1.0,1,0,1,0,0,1,0,1
0,3,2.0,0.0,1,0,1,1,0,0,0,1
0,3,2.0,0.0,1,0,1,0,0,1,0,1
1,3,1.0,1.0,2,0,1,0,0,1,1,0
0,2,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,2,1.0,1.0,1,0,1,0,0,1,0,1
0,2,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
1,3,1.0,1.0,1,1,0,0,0,1,0,1
0,3,1.0,1.0,1,1,0,0,1,0,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,3,0.0,1.0,2,1,0,1,0,0,1,0
0,3,1.0,0.0,1,0,1,1,0,0,0,1
1,3,1.0,0.0,1,1,0,0,1,0,0,1
1,1,2.0,2.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,2,1,0,1,0,0,1,0
0,3,1.0,0.0,1,0,1,0,1,0,0,1
0,3,1.0,0.0,2,0,1,0,0,1,1,0
0,2,2.0,2.0,1,0,1,0,0,1,0,1
0,1,1.0,2.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,2,1.0,1.0,1,1,0,0,0,1,0,1
0,3,1.0,2.0,1,0,1,0,1,0,0,1
0,3,2.0,0.0,1,0,1,0,0,1,0,1
1,2,0.0,3.0,2,1,0,0,0,1,1,0
0,3,1.0,0.0,2,0,1,0,0,1,1,0
0,2,2.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
1,3,1.0,0.0,1,1,0,0,1,0,0,1
0,2,1.0,2.0,2,0,1,0,0,1,1,0
0,3,1.0,1.0,2,1,0,0,0,1,1,0
0,3,0.0,2.0,1,0,1,1,0,0,0,1
0,2,1.0,0.0,1,0,1,0,0,1,0,1
0,2,1.0,1.0,1,0,1,0,0,1,0,1
0,2,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,2.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,1,1.0,2.0,1,0,1,0,0,1,0,1
0,3,1.0,2.0,2,0,1,0,0,1,1,0
1,3,1.0,1.0,1,0,1,0,0,1,0,1
1,2,1.0,1.0,1,1,0,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,1,0,0,1
1,3,0.0,1.0,2,0,1,0,0,1,1,0
0,3,2.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,2,1.0,1.0,1,0,1,0,0,1,0,1
0,3,2.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,2.0,0.0,1,0,1,0,0,1,0,1
1,3,1.0,0.0,1,0,1,1,0,0,0,1
0,3,0.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,1,0,0,1,0,0,1
0,3,1.0,2.0,2,0,1,0,1,0,1,0
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,1,0,0,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,1,0,0,1
1,3,0.0,1.0,1,1,0,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,1,0,0,1
1,3,0.0,0.0,1,1,0,1,0,0,0,1
0,1,1.0,2.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,3,1.0,0.0,1,1,0,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,1,0,0,1
0,2,0.0,2.0,1,0,1,0,0,1,0,1
0,1,1.0,2.0,1,0,1,1,0,0,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,2,2.0,1.0,1,0,1,0,0,1,0,1
1,3,1.0,1.0,1,1,0,0,0,1,0,1
0,3,1.0,0.0,1,0,1,1,0,0,0,1
0,2,2.0,1.0,1,0,1,0,0,1,0,1
1,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,1,2.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,1,0,0,0,1,0,1
0,2,2.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,2.0,2.0,1,0,1,0,0,1,0,1
0,2,2.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,1,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,1,0,0,0,1,0,1
1,3,1.0,1.0,1,0,1,0,0,1,0,1
0,1,2.0,0.0,1,0,1,0,0,1,0,1
1,3,1.0,1.0,2,1,0,0,0,1,1,0
0,3,1.0,0.0,1,0,1,0,1,0,0,1
1,3,1.0,0.0,1,0,1,0,1,0,0,1
1,3,0.0,1.0,2,1,0,1,0,0,1,0
0,3,1.0,0.0,1,0,1,1,0,0,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
1,1,1.0,2.0,1,0,1,1,0,0,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,2,0.0,1.0,1,0,1,0,0,1,0,1
1,1,1.0,2.0,1,1,0,1,0,0,0,1
0,3,2.0,0.0,1,0,1,1,0,0,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,2.0,0.0,1,0,1,1,0,0,0,1
0,2,1.0,3.0,2,0,1,0,0,1,1,0
1,3,1.0,1.0,2,1,0,0,0,1,1,0
0,3,1.0,0.0,1,0,1,1,0,0,0,1
0,2,1.0,1.0,2,0,1,0,0,1,1,0
0,2,1.0,1.0,1,0,1,0,0,1,0,1
1,2,1.0,1.0,2,1,0,1,0,0,1,0
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,1,2.0,0.0,1,0,1,0,0,1,0,1
1,2,1.0,2.0,2,1,0,1,0,0,1,0
1,3,0.0,0.0,1,1,0,1,0,0,0,1
0,3,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
1,2,1.0,2.0,2,1,0,0,0,1,1,0
0,3,2.0,0.0,1,0,1,0,0,1,0,1
0,3,1.0,1.0,1,1,0,0,0,1,0,1
0,2,1.0,1.0,1,0,1,0,0,1,0,1
0,3,1.0,0.0,1,0,1,0,0,1,0,1
0,2,1.0,1.0,1,0,1,0,0,1,0,1
1,1,1.0,2.0,1,1,0,0,0,1,0,1
1,1,1.0,2.0,1,0,1,1,0,0,0,1
0,3,1.0,0.0,1,0,1,0,1,0,0,1
